2024-12-23 13:48:14 - (826, 0) - None - 0
2024-12-23 13:48:14 - (813, 0) - None - 0
2024-12-23 13:48:14 - (883, 188) - None - 0
2024-12-23 13:48:14 - (938, 286) - None - 0
2024-12-23 13:48:14 - (934, 282) - None - 0
2024-12-23 13:48:14 - (893, 258) - None - 0
2024-12-23 13:48:14 - (887, 258) - None - 0
2024-12-23 13:48:14 - (887, 258) - None - 0
2024-12-23 13:48:14 - (887, 258) - None - 0
2024-12-23 13:48:15 - (887, 258) - None - 0
2024-12-23 13:48:15 - (887, 258) - None - 0
2024-12-23 13:48:15 - (887, 258) - None - 0
2024-12-23 13:48:15 - (887, 258) - None - 0
2024-12-23 13:48:15 - (887, 258) - None - 0
2024-12-23 13:48:15 - (887, 258) - None - 0
2024-12-23 13:48:15 - (887, 258) - None - 1
2024-12-23 13:48:15 - (887, 258) - None - 1
2024-12-23 13:48:16 - (887, 258) - None - 1
2024-12-23 13:48:16 - (887, 258) - None - 1
2024-12-23 13:48:16 - (887, 258) - None - 1
2024-12-23 13:48:16 - (887, 258) - None - 1
2024-12-23 13:48:16 - (887, 258) - None - 1
2024-12-23 13:48:16 - (887, 258) - None - 1
2024-12-23 13:48:16 - (887, 258) - None - 1
2024-12-23 13:48:16 - (887, 258) - None - 1
2024-12-23 13:48:16 - (887, 258) - None - 1
2024-12-23 13:48:17 - (887, 258) - None - 1
2024-12-23 13:48:17 - (434, 249) - None - 2
2024-12-23 13:48:17 - (434, 254) - None - 2
2024-12-23 13:48:17 - (310, 242) - None - 2
2024-12-23 13:48:17 - (287, 246) - None - 2
2024-12-23 13:48:17 - (287, 246) - None - 2
2024-12-23 13:48:17 - (287, 246) - None - 2
2024-12-23 13:48:17 - (287, 246) - Left Click - 2
2024-12-23 13:48:17 - (287, 246) - A - 2
2024-12-23 13:48:18 - (287, 246) - D - 2
2024-12-23 13:48:18 - (287, 246) - A - 2
2024-12-23 13:48:18 - (287, 246) - D - 2
2024-12-23 13:48:18 - (287, 246) - D - 2
2024-12-23 13:48:18 - (287, 246) - A - 2
2024-12-23 13:48:18 - (287, 246) - D - 2
2024-12-23 13:48:18 - (287, 246) - A - 2
2024-12-23 13:48:18 - (287, 246) - None - 2
2024-12-23 13:48:19 - (287, 246) - None - 2
2024-12-23 13:48:19 - (287, 246) - None - 2
2024-12-23 13:48:19 - (287, 246) - None - 2
2024-12-23 13:48:19 - (295, 246) - None - 2
2024-12-23 13:48:19 - (418, 249) - None - 2
2024-12-23 13:48:19 - (731, 93) - None - 2
2024-12-23 13:48:19 - (731, 93) - None - 2
2024-12-23 13:48:19 - (737, 93) - None - 2
2024-12-23 13:48:20 - (748, 91) - None - 2
2024-12-23 13:48:20 - (752, 89) - None - 2
2024-12-23 13:48:20 - (758, 88) - None - 2
2024-12-23 13:48:20 - (762, 87) - None - 2
2024-12-23 13:48:20 - (762, 87) - None - 2
2024-12-23 13:48:21 - (1024, 98) - None - 2
2024-12-23 13:48:21 - (1024, 98) - None - 2
2024-12-23 13:48:22 - (1024, 98) - None - 2
2024-12-23 13:48:22 - (1024, 98) - None - 2
2024-12-23 13:48:22 - (1024, 98) - None - 2
2024-12-23 13:48:22 - (1024, 98) - None - 2
2024-12-23 13:48:22 - (1024, 98) - None - 2
2024-12-23 13:48:22 - (664, 180) - None - 2
2024-12-23 13:48:22 - (619, 198) - None - 2
2024-12-23 13:48:22 - (606, 209) - None - 2
2024-12-23 13:48:22 - (564, 221) - None - 2
2024-12-23 13:48:23 - (538, 224) - None - 2
2024-12-23 13:48:23 - (538, 224) - None - 2
2024-12-23 13:48:23 - (538, 224) - None - 2
2024-12-23 13:48:23 - (538, 224) - Left Click - 2
2024-12-23 13:48:23 - (538, 224) - A - 2
2024-12-23 13:48:23 - (538, 224) - D - 2
2024-12-23 13:48:23 - (538, 224) - D - 2
2024-12-23 13:48:23 - (538, 224) - A - 2
2024-12-23 13:48:23 - (538, 224) - D - 2
2024-12-23 13:48:24 - (538, 224) - A - 2
2024-12-23 13:48:24 - (538, 224) - D - 2
2024-12-23 13:48:24 - (538, 224) - None - 3
2024-12-23 13:48:24 - (538, 224) - A - 3
